[START OF SIMULATION]
0x00000194:	s8 [r1+0],r3             	MEM[0x00000216]=R3=0x67
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000217,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000013,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x84
0x00000194:	s8 [r1+0],r3             	MEM[0x00000217]=R3=0x84
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000218,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000014,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x5A
0x00000194:	s8 [r1+0],r3             	MEM[0x00000218]=R3=0x5A
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000219,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000015,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000194:	s8 [r1+0],r3             	MEM[0x00000219]=R3=0x0C
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000021A,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000016,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0xBF
0x00000194:	s8 [r1+0],r3             	MEM[0x0000021A]=R3=0xBF
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000021B,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000017,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x64
0x00000194:	s8 [r1+0],r3             	MEM[0x0000021B]=R3=0x64
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000021C,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000018,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x82
0x00000194:	s8 [r1+0],r3             	MEM[0x0000021C]=R3=0x82
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000021D,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000019,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x4C
0x00000194:	s8 [r1+0],r3             	MEM[0x0000021D]=R3=0x4C
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000021E,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000001A,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x33
0x00000194:	s8 [r1+0],r3             	MEM[0x0000021E]=R3=0x33
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000021F,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000001B,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x2B
0x00000194:	s8 [r1+0],r3             	MEM[0x0000021F]=R3=0x2B
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000220,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x0000001C,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000040
0x0000018C:	beq 5                    	PC=0x000001A4
0x000001A4:	pop r5,r4,r3,r2,r1       	{R5,R4,R3,R2,R1}=MEM[0x00007FE4]{0x00000007,0x00000000,0x00000000,0x000001D8,0x8888888B}
0x000001A8:	ret                      	PC=MEM[0x00007FFC]=0x000001C0
0x000001C0:	call -76                 	PC=0x00000094,MEM[0x00007FFC]=0x000001C4
0x00000094:	push r4,r3,r2            	MEM[0x00007FF8]{0x00000000,0x00000000,0x000001D8}={R4,R3,R2}
0x00000098:	mov r4,516               	R4=0x00000204
0x0000009C:	divi r4,r4,4             	R4=R4/0x00000004=0x00000081,SR=0x00000000
0x000000A0:	mov r3,0                 	R3=0x00000000
0x000000A4:	cmp r3,r5                	SR=0x00000011
0x000000A8:	beq 7                    	PC=0x000000AC
0x000000AC:	addi r2,r4,0             	R2=R4+0x00000000=0x00000081,SR=0x00000000
0x000000B0:	call -14                 	PC=0x0000007C,MEM[0x00007FEC]=0x000000B4
0x0000007C:	push r3,r5               	MEM[0x00007FE8]{0x00000000,0x00000007}={R3,R5}
0x00000080:	l32 r1,[r0+137]          	R1=MEM[0x00000224]=0x8888888B
0x00000084:	l32 r3,[r2+0]            	R3=MEM[0x00000204]=0x0A070605
0x00000088:	call -17                 	PC=0x00000048,MEM[0x00007FE0]=0x0000008C
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FDC]{0x00000000,0x00000000,0x00000007,0x00000081,0x0A070605}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000003,R3=R3/R4=0x0100B3CD,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007FC8]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FC4]{0x00000000,0x00000000,0x00000003,0x0000000A,0x0100B3CD}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000005,R3=R3/R4=0x0019AB94,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007FB0]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FAC]{0x00000000,0x00000000,0x00000005,0x0000000A,0x0019AB94}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000004,R3=R3/R4=0x00029128,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F98]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F94]{0x00000000,0x00000000,0x00000004,0x0000000A,0x00029128}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x000041B7,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F80]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F7C]{0x00000000,0x00000000,0x00000002,0x0000000A,0x000041B7}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000003,R3=R3/R4=0x00000692,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F68]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F64]{0x00000000,0x00000000,0x00000003,0x0000000A,0x00000692}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x000000A8,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F50]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F4C]{0x00000000,0x00000000,0x00000002,0x0000000A,0x000000A8}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000008,R3=R3/R4=0x00000010,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F38]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F34]{0x00000000,0x00000000,0x00000008,0x0000000A,0x00000010}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000006,R3=R3/R4=0x00000001,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F20]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F1C]{0x00000000,0x00000000,0x00000006,0x0000000A,0x00000001}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000001,R3=R3/R4=0x00000000,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000040
0x00000058:	beq 1                    	PC=0x00000060
0x00000060:	bgt 2                    	PC=0x00000064
0x00000064:	cmp r5,r0                	SR=0x00000000
0x00000068:	beq 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000031,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x31
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F08]{0x00000001,0x0000000A,0x00000006,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F20]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000036,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x36
